State_Index,Row,Col,Q_Up,Q_Down,Q_Left,Q_Right,Best_Action,Max_Q_Value
0,0,0,1.7998165251489842,1.7996518860702726,1.798033058980756,1.9869660535540097,3,1.9869660535540097
1,0,1,1.9335672336862348,1.9217193282998641,1.9368749325803245,2.6213270115156586,3,2.6213270115156586
2,0,2,2.072493568419789,1.9308388240440297,2.057906346411996,3.724684407642983,3,3.724684407642983
3,0,3,2.177738938612996,5.041777835230879,2.168821385408892,2.182660887425012,1,5.041777835230879
4,0,4,2.1907604714443263,2.222173914206396,2.2361106843623793,2.23392261870866,2,2.2361106843623793
5,0,5,2.1979047058559527,2.2534850269105804,2.267143084811362,2.1543363716841837,2,2.267143084811362
6,1,0,1.8338800269670235,1.8440370165220885,1.719360471603049,1.830975966063871,1,1.8440370165220885
7,1,1,1.8857111232825878,1.8942629301238283,1.8875691064971385,1.8925301259664744,1,1.8942629301238283
8,1,2,0.0,0.0,0.0,0.0,0,0.0
9,1,3,2.2610689672940762,5.324766315026848,2.1559056043006217,2.248665836566021,1,5.324766315026848
10,1,4,2.275488397974452,2.119576130384143,2.29052782514303,2.258165716257604,2,2.29052782514303
11,1,5,2.2863296498463086,2.2994870870693345,2.2699010693320907,2.1846239779203254,1,2.2994870870693345
12,2,0,1.9386181982135182,1.931481359498284,1.8778159884496244,1.9186013926763745,0,1.9386181982135182
13,2,1,1.8993891006022257,1.9181011089175963,1.9264990593477531,1.7812561005007808,2,1.9264990593477531
14,2,2,0.0,0.0,0.0,0.0,0,0.0
15,2,3,2.3010425744111727,2.3012986216518327,2.2367929782413474,2.157994562596644,1,2.3012986216518327
16,2,4,0.0,0.0,0.0,0.0,0,0.0
17,2,5,2.357517636997676,2.8634398799371814,2.248473923096507,2.3181337929148365,1,2.8634398799371814
18,3,0,2.0225053761777176,2.0875476227487066,1.8887172092064306,2.0472724231795687,1,2.0875476227487066
19,3,1,0.0,0.0,0.0,0.0,0,0.0
20,3,2,2.366110711549788,2.3369848847755694,2.324925649399141,2.3363096001043835,0,2.366110711549788
21,3,3,2.3251206050474478,2.3477092838448366,2.349101432754511,2.617570988353382,3,2.617570988353382
22,3,4,2.421414903733918,2.3822616490509736,2.3990894986701035,4.061986645339956,3,4.061986645339956
23,3,5,2.8816707138808537,2.4536098482031856,2.6139923690901394,2.7206646840314854,0,2.8816707138808537
24,4,0,2.1550126835998524,2.6232061312365773,2.079888035147619,2.1874114089423657,1,2.6232061312365773
25,4,1,2.1433329878381673,2.5319859532289395,2.2621326829629274,2.2768890153298997,1,2.5319859532289395
26,4,2,2.3238634932323556,2.337263452549162,2.326339967849777,2.2156604604352874,1,2.337263452549162
27,4,3,0.0,0.0,0.0,0.0,0,0.0
28,4,4,0.0,0.0,0.0,0.0,0,0.0
29,4,5,2.7316083945439935,2.440145980814285,2.3812752473757297,2.374689495038942,0,2.7316083945439935
30,5,0,2.264579444159335,2.1189456061747123,2.2719774256815364,4.208230602950056,3,4.208230602950056
31,5,1,2.309189827742412,2.2399124094635567,2.3042429406240132,2.3078614938257003,0,2.309189827742412
32,5,2,2.2906033370467016,2.2738297044761677,2.3180366668344736,2.305570598652289,2,2.3180366668344736
33,5,3,2.204131388875529,2.3346814695215357,2.300244498554898,2.3338134462751827,1,2.3346814695215357
34,5,4,2.3297120894765735,2.332258299137243,2.3279877251325596,2.3626297267810936,3,2.3626297267810936
35,5,5,2.4090120440660874,2.367164823238506,2.36998498595055,2.27333481276846,0,2.4090120440660874
